NR_REF;POSTO_GRADUACAO;QUADRO;RACA
588;MAJ     ;QOS ;PARDO     
589;MAJ     ;QOPM;PARDO     
590;MAJ     ;QOPM;PARDO     
591;MAJ     ;QOPM;BRANCO    
592;MAJ     ;QOPM;PRETO     
593;MAJ     ;QOPM;AMARELO   
594;MAJ     ;QOPM;BRANCO    
595;MAJ     ;QOPM;PARDO     
596;MAJ     ;QOPM;BRANCO    
597;MAJ     ;QOPM;PARDO     
598;MAJ     ;QOPM;PARDO     
599;MAJ     ;QOPM;PARDO     
600;MAJ     ;QOPM;BRANCO    
601;MAJ     ;QOS ;BRANCO    
602;MAJ     ;QOPM;PARDO     
603;MAJ     ;QOPM;BRANCO    
604;MAJ     ;QOPM;PRETO     
605;MAJ     ;QOPM;PARDO     
606;MAJ     ;QOPM;PARDO     
607;MAJ     ;QOPM;PARDO     
608;MAJ     ;QOPM;AMARELO   
609;MAJ     ;QOPM;PARDO     
610;MAJ     ;QOPM;PARDO     
611;MAJ     ;QOPM;PARDO     
612;MAJ     ;QOPM;PARDO     
613;MAJ     ;QOPM;PARDO     
614;MAJ     ;QOPM;BRANCO    
615;MAJ     ;QOS ;BRANCO    
616;MAJ     ;QOPM;BRANCO    
617;MAJ     ;QOPM;BRANCO    
618;MAJ     ;QOPM;BRANCO    
619;MAJ     ;QOPM;BRANCO    
620;MAJ     ;QOPM;BRANCO    
621;MAJ     ;QOPM;BRANCO    
622;MAJ     ;QOPM;PARDO     
623;MAJ     ;QOPM;BRANCO    
624;MAJ     ;QOPM;PARDO     
625;MAJ     ;QOPM;PARDO     
626;MAJ     ;QOPM;NAO INF.  
627;MAJ     ;QOPM;BRANCO    
628;MAJ     ;QOPM;BRANCO    
629;MAJ     ;QOPM;BRANCO    
630;MAJ     ;QOS ;BRANCO    
631;MAJ     ;QOS ;BRANCO    
632;MAJ     ;QOS ;PARDO     
633;MAJ     ;QOPM;BRANCO    
634;MAJ     ;QOPM;BRANCO    
635;MAJ     ;QOPM;BRANCO    
636;MAJ     ;QOPM;PARDO     
637;MAJ     ;QOPM;PARDO     
638;MAJ     ;QOPM;BRANCO    
639;MAJ     ;QOPM;BRANCO    
640;MAJ     ;QOPM;BRANCO    
641;MAJ     ;QOPM;PARDO     
642;MAJ     ;QOPM;PARDO     
643;MAJ     ;QOS ;BRANCO    
644;MAJ     ;QOS ;BRANCO    
645;MAJ     ;QOPM;PARDO     
646;MAJ     ;QOPM;BRANCO    
647;MAJ     ;QOPM;PARDO     
648;MAJ     ;QOPM;BRANCO    
649;MAJ     ;QOPM;BRANCO    
650;MAJ     ;QOPM;PARDO     
651;MAJ     ;QOPM;BRANCO    
652;MAJ     ;QOPM;BRANCO    
653;MAJ     ;QOPM;PARDO     
654;MAJ     ;QOPM;BRANCO    
655;MAJ     ;QOPM;PARDO     
656;MAJ     ;QOPM;BRANCO    
657;MAJ     ;QOPM;PARDO     
658;MAJ     ;QOS ;BRANCO    
659;MAJ     ;QOPM;BRANCO    
660;MAJ     ;QOPM;BRANCO    
661;MAJ     ;QOPM;PARDO     
